first,last,email,round 0,round 1,round 2,round 3,round 4,round 5,round 6,round 0 score,round 1 score,round 2 score,round 3 score,round 4 score,round 5 score,round 6 score
woman12,last,woman12@gmail.com,man10 l,No one !,man7 l,man17 l,man0 l,man2 l,man5 l,3.75,0.00,2.40,1.60,3.75,1.60,4.44
woman13,last,woman13@gmail.com,man14 l,No one !,man9 l,man8 l,man17 l,man5 l,man7 l,3.43,0.00,2.67,2.67,3.75,3.75,4.44
woman14,last,woman14@gmail.com,man17 l,man1 l,man6 l,No one !,man15 l,man10 l,man3 l,3.75,3.43,3.43,0.00,4.00,3.43,4.00
woman15,last,woman15@gmail.com,man0 l,man10 l,man17 l,man3 l,man16 l,man15 l,man8 l,3.75,4.00,3.43,3.43,5.00,3.75,5.00
woman16,last,woman16@gmail.com,man9 l,man12 l,man5 l,man11 l,man1 l,man3 l,man15 l,4.44,4.44,4.00,4.00,4.00,3.75,4.44
woman17,last,woman17@gmail.com,man5 l,man6 l,man8 l,man4 l,No one !,man13 l,man1 l,4.00,3.43,2.86,2.86,0.00,3.43,4.44
woman18,last,woman18@gmail.com,No one !,man15 l,man10 l,man13 l,man6 l,man8 l,man12 l,0.00,3.75,2.67,2.86,5.00,2.67,5.00
woman19,last,woman19@gmail.com,man2 l,man0 l,man1 l,man15 l,man14 l,No one !,man16 l,3.75,3.43,3.43,2.67,3.43,0.00,5.00
No one,!,fake_man_0,woman11 l,woman12 l,woman9 l,woman6 l,woman17 l,woman0 l,woman8 l,0.00,0.00,0.00,0.00,0.00,0.00,0.00
No one,!,fake_man_1,woman18 l,woman13 l,woman5 l,woman14 l,woman1 l,woman19 l,woman3 l,0.00,0.00,0.00,0.00,0.00,0.00,0.00
